title,rating,number_of_reviews,user_review,categories
Natter Coffee & Gelato,3.0,111,Good option for ice cream and coffee. Decor kinda sucks though,"['Dessert Shop', 'Café', 'Coffee Shop', 'Ice Cream Shop']"
Kinki Restaurant + Bar,2.5,1220,3/5 - You pay for the view but the food isnt amazingly mindblowing for the price,"['Japanese Restaurant', 'View', 'Bar', 'Price']"
Pastaria Abate,2.5,1563,"3/5 - Only good for the miles and even then, not fantastic","['Café', 'Italian Restaurant', 'Bbq Restaurant', 'Food Court', 'Brunch Spot', 'Noodle Shop', 'Tapas Restaurant', 'Pizza Restaurant', 'Restaurant', 'Burger Joint']"
Underdog Inn,3.5,42,4/5 - Nice environment chill vibes. Not sure of food,"['Café', 'Bbq Restaurant', 'Food Court', 'Brunch Spot', 'Hawker Stall', 'Noodle Shop', 'Tapas Restaurant', 'Bar', 'Restaurant', 'Burger Joint']"
Sonny's Pizza,2.5,173,3/5 - No frills bodega style pizza with some craft beer to match. Not fantastic but chill vibe with friends,"['Craft Beer', 'Casual Dining', 'Pizza Restaurant', 'Bar']"
Los Amigos,2.0,226,3/5 - relatively mid mexican food and nothing to be suprisrd about. Found it to be relatively underwhelming,"['Food Court', 'Mexican Restaurant', 'Café', 'Burger Joint']"
French Fold Telok Ayer,4.0,2159,4/5 : Good solid crepes and nice ambience,"['Café', 'Brunch Spot', 'Creperie', 'French Restaurant', 'Dessert Shop']"
Alice Boulangerie,3.5,292,mid,"['Café', 'Brunch Spot', 'Bakery', 'Dessert Shop']"
The Great Mischief,4.0,1482,Chill vibes and decent coffee,"['Café', 'Coffee Shop', 'Chill Vibes', 'Cafe', 'Decent Coffee']"
Birds of Paradise Gelato Boutique (Craig),3.0,243,Rating 3.5/5 - Good white chrysanthemum flavors and solid selection,"['Dessert Shop', 'Coffee Shop', 'Bakery', 'Ice Cream Shop']"
Bebek Tepi Sawah,3.5,2811,Solid 4.5/5 - High quality food and near to the airport,"['Balinese Restaurant', 'Rice Dish', 'Indonesian Restaurant', 'Traditional Cuisine', 'Tourist Friendly']"
Darkness Dessert 甜品屋,3.0,192,"Rating : 3.5/5 

Not too bad, sesame themed desserts were good but nothing speical.","['Coffee Shop', 'Bakery', 'Sesame Themed Dessert Shop', 'Dessert Restaurant', 'Dessert Shop']"
Graffiti Sky Bar,4.0,120,Not bad happy hour ,"['Roof Top Bar', 'Drinks', 'Bar', 'Happy Hour']"
LECOQ,3.0,194,"rating : 3.5/5 - food honestly isnt too bad, quite liked it ","['Café', 'Bakery', 'Brunch Spot', 'Restaurant', 'French Restaurant']"
Sago House,5.0,223,5/5 - solid choice for drinky drinky,"['Café', 'Drinks', 'Bakery', 'Bar', 'Restaurant']"
Buk Chang Dong (BCD) Soon Tofu (Ang Mo Kio),3.5,113,Decent value for money taste and price wise ,"['Bakery', 'Food Court', 'Hawker Stall', 'Korean Restaurant', 'Vegetarian Restaurant']"
"Chef Wai's Poached Rice (Food Village @ B2, Takashimaya)",4.0,48,Not too bad but a tad bit expensive ,"['Food Court', 'Chinese Restaurant', 'Rice Shop', 'Affordable Restaurant']"
Puck Provisions,4.0,59,Chill and nice vibes ,"['Café', 'Coffee Shop', 'Brunch Spot', 'Coffee Store', 'Dessert Shop']"
